country,year,CO2,GHG(Indirect CO2),GHG,HFC,CH4,NF3,N2O,PFC,SF6,HFC+PFC
Austria,2014,64262.5639931315,76332.6185859917,76332.6185859917,1642.80076513062,6623.26575609826,10.56252,3427.43737299867,53.028514,312.959664632664,null
Belarus,1990,100438.095063708,133457.162012087,133457.162012087,null,17944.369142475,null,15074.697805904,null,null,null
Belarus,1991,93649.166141388,125601.052927806,125601.052927806,null,17258.1344516,null,14693.752334818,null,null,null
Belarus,1992,87060.81028961,116588.686464578,116588.686464578,null,16295.4361922,null,13232.439982768,null,null,null
Belarus,1993,75551.755291625,103951.525256019,103951.525256019,null,15583.1133978,null,12816.656566594,null,null,null
Belarus,1994,62402.279082903,88206.3567402,88206.3567402,null,14331.807082625,null,11472.270574672,null,null,null
Belarus,1995,56005.93938238,80369.782345399,80369.782345399,null,13611.075969575,null,10752.765283444,null,0.00171,null
Belarus,1996,57251.355700374,82375.194219344,82375.194219344,null,13672.8220222,null,11451.00532477,null,0.011172,null
Belarus,1997,60971.816305307,86282.505937182,86282.505937182,null,13578.265278075,null,11732.3670118,null,0.057342,null
Belarus,1998,57426.329584039,82668.831561971,82668.831561971,null,13540.2447086,null,11702.191035332,null,0.066234,null
Belarus,1999,55033.952116896,79497.84205671,79497.84205671,null,13212.4624856,null,11251.338762214,null,0.088692,null
Belarus,2000,53686.857490672,77959.724959323,77959.724959323,null,12922.696280275,null,11350.074288376,null,0.0969,null
Belarus,2001,53783.847673632,77921.8275915,77921.8275915,null,12799.02585625,null,11338.843481618,null,0.11058,null
Belarus,2002,53843.704423847,76683.86788515,76683.86788515,null,12705.355449575,null,10134.689907728,null,0.118104,null
Belarus,2003,54845.145835185,79158.718822027,79158.718822027,null,13734.63191955,null,10578.776337292,null,0.16473,null
Belarus,2004,58457.64761596,83688.299567336,83688.299567336,null,14331.37019635,null,10899.037111026,null,0.244644,null
Belarus,2005,59664.73908178,85596.098699522,85596.098699522,null,14727.0600536,null,11203.946164142,null,0.3534,null
Belarus,2006,62229.398882869,89449.655446278,89449.655446278,null,15450.078575575,null,11769.732019834,null,0.445968,null
Belarus,2007,61563.881729088,88920.641948088,88920.641948088,null,15646.7932469,null,11709.4255861,null,0.541386,null
Belarus,2008,63846.103794367,92364.348971776,92364.348971776,null,16240.159787875,null,12276.831959534,null,1.25343,null
Belarus,2009,59596.205375555,89223.65625899,89223.65625899,null,17118.031159325,null,12507.96678271,null,1.4529414,null
Belarus,2010,61632.492704327,91183.549358156,91183.549358156,null,17109.267876475,null,12439.691519354,null,2.097258,null
Belarus,2011,61128.400592577,91671.727009572,91671.727009572,null,17499.477159075,null,13041.54565992,null,2.303598,null
Belarus,2012,60636.851387067,90925.114581937,90925.114581937,null,17461.76738625,null,12824.03580262,null,2.460006,null
Belarus,2013,61510.987153813,93037.24544666,93037.24544666,null,18724.358966775,null,12799.388453272,null,2.5108728,null
Belarus,2014,60615.645730992,91895.646557818,91895.646557818,null,18599.1790231,null,12678.394857726,null,2.426946,null
Belgium,1990,119982.503418506,146021.236760582,146021.236760582,null,12040.1810478487,null,10232.4000382159,2191.04861,1575.10364601222,null
Belgium,1991,123130.652897225,148825.699408439,148825.699408439,null,11999.377565637,null,10106.4073495644,2096.42035,1492.84124601222,null
Belgium,1992,122217.919518023,148384.726816956,148384.726816956,484.299975812368,11886.3497152747,null,9858.6978618329,2284.7677,1652.69204601222,null
Belgium,1993,121156.964954729,147393.394631085,147393.394631085,484.299975812368,11838.3033737107,null,10129.3928108206,2195.90067,1588.53284601222,null
Belgium,1994,124426.885709848,151882.372526596,151882.372526596,495.789565242139,11867.0166000478,null,10524.5048354457,2637.36937,1930.80644601222,null
Belgium,1995,125519.441990638,154020.293703539,154020.293703539,501.991333560121,11947.6381787851,null,10997.2037194408,2914.28531,2139.73317111443,null
Belgium,1996,129010.471708927,157656.68711628,157656.68711628,602.197276576914,11802.0818337339,null,11415.398560162,2766.91383,2059.62390688042,null
Belgium,1997,123495.742758683,149163.455913832,149163.455913832,726.994087301747,11689.8989430417,null,11183.0529189441,1528.91853903915,538.848666822564,null
Belgium,1998,129737.090031462,154340.392867866,154340.392867866,881.223470503045,11524.999684482,null,11057.2645597503,843.866492939303,295.948628729232,null
Belgium,1999,124208.071769964,148062.443619472,148062.443619472,935.582415403112,11265.277849541,null,11071.1025909106,428.74688744057,153.662106212916,null
Belgium,2000,126315.209948975,149213.017245465,149213.017245465,1127.79920477565,10827.0045628699,null,10352.8296876537,446.1100272947,144.063813895272,null
Belgium,2001,125649.370538717,147626.133486262,147626.133486262,1211.52843588766,10386.2529605796,null,9963.92130157159,275.840256156584,139.21999334976,null
Belgium,2002,126015.194675856,147240.36528013,147240.36528013,1438.41916621289,9956.50085913143,null,9613.02298617883,101.056756156584,116.170836594324,null
Belgium,2003,127523.989700176,147579.069694206,147579.069694206,1608.86827845198,9372.46837983159,null,8712.78391381373,259.03112540345,101.928296529972,null
Belgium,2004,128640.48346799,148971.404765463,148971.404765463,1693.40032492042,9318.58072048247,null,8850.4092731786,378.33328106467,90.197697826608,null
Belgium,2005,125118.016504076,144803.082030313,144803.082030313,1745.35050510923,9074.7690780932,null,8581.48814510937,192.770199646856,90.687598278384,null
Belgium,2006,122319.593759433,141046.707506786,141046.707506786,1876.64217584791,8982.9819255679,null,7591.03215178499,199.907099703807,76.550394448644,null
